gene 50586796 50814302 gene_id "ENSG00000158352";
transcript 50591647 50814302 gene_id "ENSG00000158352"; transcript_id "ENST00000289292";
exon 50591647 50592144 gene_id "ENSG00000158352"; transcript_id "ENST00000289292";
exon 50595698 50596964 gene_id "ENSG00000158352"; transcript_id "ENST00000289292";
exon 50598266 50598535 gene_id "ENSG00000158352"; transcript_id "ENST00000289292";
exon 50602633 50602813 gene_id "ENSG00000158352"; transcript_id "ENST00000289292";
exon 50607381 50608184 gene_id "ENSG00000158352"; transcript_id "ENST00000289292";
exon 50627614 50627675 gene_id "ENSG00000158352"; transcript_id "ENST00000289292";
exon 50633178 50635668 gene_id "ENSG00000158352"; transcript_id "ENST00000289292";
exon 50638174 50638308 gene_id "ENSG00000158352"; transcript_id "ENST00000289292";
exon 50695786 50695937 gene_id "ENSG00000158352"; transcript_id "ENST00000289292";
exon 50813902 50814302 gene_id "ENSG00000158352"; transcript_id "ENST00000289292";
transcript 50591695 50596237 gene_id "ENSG00000158352"; transcript_id "ENST00000483955";
exon 50591695 50592144 gene_id "ENSG00000158352"; transcript_id "ENST00000483955";
exon 50592698 50595781 gene_id "ENSG00000158352"; transcript_id "ENST00000483955";
exon 50595890 50596237 gene_id "ENSG00000158352"; transcript_id "ENST00000483955";
transcript 50592365 50643683 gene_id "ENSG00000158352"; transcript_id "ENST00000460112";
exon 50592365 50596964 gene_id "ENSG00000158352"; transcript_id "ENST00000460112";
exon 50598266 50598535 gene_id "ENSG00000158352"; transcript_id "ENST00000460112";
exon 50602633 50602813 gene_id "ENSG00000158352"; transcript_id "ENST00000460112";
exon 50607381 50608184 gene_id "ENSG00000158352"; transcript_id "ENST00000460112";
exon 50627614 50627675 gene_id "ENSG00000158352"; transcript_id "ENST00000460112";
exon 50633178 50635668 gene_id "ENSG00000158352"; transcript_id "ENST00000460112";
exon 50638174 50638308 gene_id "ENSG00000158352"; transcript_id "ENST00000460112";
exon 50643308 50643683 gene_id "ENSG00000158352"; transcript_id "ENST00000460112";
transcript 50586796 50814194 gene_id "ENSG00000158352"; transcript_id "ENST00000376020";
exon 50586796 50596964 gene_id "ENSG00000158352"; transcript_id "ENST00000376020";
exon 50598266 50598535 gene_id "ENSG00000158352"; transcript_id "ENST00000376020";
exon 50602633 50602813 gene_id "ENSG00000158352"; transcript_id "ENST00000376020";
exon 50607381 50608184 gene_id "ENSG00000158352"; transcript_id "ENST00000376020";
exon 50627614 50627675 gene_id "ENSG00000158352"; transcript_id "ENST00000376020";
exon 50633178 50635668 gene_id "ENSG00000158352"; transcript_id "ENST00000376020";
exon 50638174 50638308 gene_id "ENSG00000158352"; transcript_id "ENST00000376020";
exon 50695786 50695937 gene_id "ENSG00000158352"; transcript_id "ENST00000376020";
exon 50813902 50814194 gene_id "ENSG00000158352"; transcript_id "ENST00000376020";

