gene 55452985 55462343 gene_id "ENSG00000063241";
transcript 55452985 55461642 gene_id "ENSG00000063241"; transcript_id "ENST00000425675";
exon 55452985 55453388 gene_id "ENSG00000063241"; transcript_id "ENST00000425675";
exon 55454989 55455106 gene_id "ENSG00000063241"; transcript_id "ENST00000425675";
exon 55455260 55455330 gene_id "ENSG00000063241"; transcript_id "ENST00000425675";
exon 55455636 55455845 gene_id "ENSG00000063241"; transcript_id "ENST00000425675";
exon 55456349 55456489 gene_id "ENSG00000063241"; transcript_id "ENST00000425675";
exon 55461512 55461642 gene_id "ENSG00000063241"; transcript_id "ENST00000425675";
transcript 55452985 55462343 gene_id "ENSG00000063241"; transcript_id "ENST00000438389";
exon 55452985 55453388 gene_id "ENSG00000063241"; transcript_id "ENST00000438389";
exon 55454989 55455106 gene_id "ENSG00000063241"; transcript_id "ENST00000438389";
exon 55455260 55455330 gene_id "ENSG00000063241"; transcript_id "ENST00000438389";
exon 55456349 55456489 gene_id "ENSG00000063241"; transcript_id "ENST00000438389";
exon 55461512 55462343 gene_id "ENSG00000063241"; transcript_id "ENST00000438389";
transcript 55452989 55461645 gene_id "ENSG00000063241"; transcript_id "ENST00000085068";
exon 55452989 55453388 gene_id "ENSG00000063241"; transcript_id "ENST00000085068";
exon 55454989 55455106 gene_id "ENSG00000063241"; transcript_id "ENST00000085068";
exon 55455260 55455378 gene_id "ENSG00000063241"; transcript_id "ENST00000085068";
exon 55455636 55455845 gene_id "ENSG00000063241"; transcript_id "ENST00000085068";
exon 55456349 55456489 gene_id "ENSG00000063241"; transcript_id "ENST00000085068";
exon 55461512 55461645 gene_id "ENSG00000063241"; transcript_id "ENST00000085068";
transcript 55455002 55461626 gene_id "ENSG00000063241"; transcript_id "ENST00000589080";
exon 55455002 55455106 gene_id "ENSG00000063241"; transcript_id "ENST00000589080";
exon 55455260 55455330 gene_id "ENSG00000063241"; transcript_id "ENST00000589080";
exon 55455636 55455845 gene_id "ENSG00000063241"; transcript_id "ENST00000589080";
exon 55456349 55456489 gene_id "ENSG00000063241"; transcript_id "ENST00000589080";
exon 55461512 55461626 gene_id "ENSG00000063241"; transcript_id "ENST00000589080";
transcript 55455332 55461642 gene_id "ENSG00000063241"; transcript_id "ENST00000591718";
exon 55455332 55455845 gene_id "ENSG00000063241"; transcript_id "ENST00000591718";
exon 55456349 55456489 gene_id "ENSG00000063241"; transcript_id "ENST00000591718";
exon 55461512 55461642 gene_id "ENSG00000063241"; transcript_id "ENST00000591718";
transcript 55455897 55461624 gene_id "ENSG00000063241"; transcript_id "ENST00000589108";
exon 55455897 55456489 gene_id "ENSG00000063241"; transcript_id "ENST00000589108";
exon 55461512 55461624 gene_id "ENSG00000063241"; transcript_id "ENST00000589108";
